day month year hour minute temperature   humidity     dewpoint   barometer    windspeed   gustspeed direction  rainlastmin    dailyrain  monthlyrain   yearlyrain  heatindex
 1  9 2019  0  0 09.5  91 08.1 1016.7 2.9 4.3 273 0.0 0.0 0.0 799.0 9.5
 1  9 2019  0  1 09.5  91 08.1 1016.8 2.7 4.3 273 0.0 0.0 0.0 799.0 9.5
 1  9 2019  0  2 09.5  91 08.1 1016.8 3.0 3.5 273 0.0 0.0 0.0 799.0 9.5
 1  9 2019  0  3 09.5  91 08.1 1016.8 2.4 3.5 273 0.0 0.0 0.0 799.0 9.5
 1  9 2019  0  4 09.5  91 08.1 1016.8 2.7 4.3 273 0.0 0.0 0.0 799.0 9.5
 1  9 2019  0  5 09.4  91 08.0 1016.8 3.1 4.3 273 0.0 0.0 0.0 799.0 9.4
 1  9 2019  0  6 09.4  91 08.0 1016.8 2.2 4.3 273 0.0 0.0 0.0 799.0 9.4
 1  9 2019  0  7 09.4  91 08.0 1016.8 2.7 3.5 273 0.0 0.0 0.0 799.0 9.4
 1  9 2019  0  8 09.4  91 08.0 1016.8 2.9 4.3 273 0.0 0.0 0.0 799.0 9.4
 1  9 2019  0  9 09.4  91 08.0 1016.8 2.6 3.5 273 0.0 0.0 0.0 799.0 9.4
 1  9 2019  0 10 09.3  91 07.9 1016.8 2.5 3.5 273 0.0 0.0 0.0 799.0 9.3
 1  9 2019  0 11 09.3  91 07.9 1016.8 2.5 3.5 273 0.0 0.0 0.0 799.0 9.3
 1  9 2019  0 12 09.3  91 07.9 1016.8 2.6 3.5 273 0.0 0.0 0.0 799.0 9.3
 1  9 2019  0 13 09.3  91 07.9 1016.8 2.8 3.5 273 0.0 0.0 0.0 799.0 9.3
 1  9 2019  0 14 09.2  91 07.8 1016.9 2.8 3.5 273 0.0 0.0 0.0 799.0 9.2
 1  9 2019  0 15 09.2  91 07.8 1016.9 3.0 3.5 273 0.0 0.0 0.0 799.0 9.2
 1  9 2019  0 16 09.2  91 07.8 1016.9 2.6 3.5 273 0.0 0.0 0.0 799.0 9.2
 1  9 2019  0 17 09.2  91 07.8 1016.9 2.3 2.6 273 0.0 0.0 0.0 799.0 9.2
 1  9 2019  0 18 09.1  91 07.7 1016.9 2.0 3.5 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 19 09.1  91 07.7 1016.9 1.9 2.6 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 20 09.1  91 07.7 1016.9 1.8 2.6 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 21 09.0  91 07.6 1016.9 2.2 3.5 273 0.0 0.0 0.0 799.0 9.0
 1  9 2019  0 22 09.0  91 07.6 1016.9 2.4 3.5 273 0.0 0.0 0.0 799.0 9.0
 1  9 2019  0 23 09.0  92 07.8 1016.9 1.6 2.6 273 0.0 0.0 0.0 799.0 9.0
 1  9 2019  0 24 09.0  92 07.8 1016.9 1.6 3.5 273 0.0 0.0 0.0 799.0 9.0
 1  9 2019  0 25 09.0  92 07.7 1016.8 2.3 3.5 273 0.0 0.0 0.0 799.0 9.0
 1  9 2019  0 26 08.9  92 07.7 1016.9 2.3 2.6 273 0.0 0.0 0.0 799.0 8.9
 1  9 2019  0 27 08.9  92 07.7 1016.9 2.3 4.3 273 0.0 0.0 0.0 799.0 8.9
 1  9 2019  0 28 08.9  92 07.7 1016.9 2.7 4.3 273 0.0 0.0 0.0 799.0 8.9
 1  9 2019  0 29 09.0  92 07.8 1016.9 3.1 4.3 273 0.0 0.0 0.0 799.0 9.0
 1  9 2019  0 30 09.0  92 07.8 1016.9 3.4 4.3 273 0.0 0.0 0.0 799.0 9.0
 1  9 2019  0 31 09.1  92 07.8 1016.9 3.2 4.3 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 32 09.1  92 07.8 1017.0 3.2 3.5 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 33 09.1  92 07.9 1017.0 3.4 4.3 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 34 09.1  93 08.0 1017.0 3.1 4.3 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 35 09.1  93 08.0 1017.0 3.0 4.3 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 36 09.1  93 08.0 1017.0 3.3 5.2 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 37 09.1  93 08.0 1017.0 3.8 5.2 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 38 09.1  93 08.0 1017.0 3.3 4.3 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 39 09.1  92 07.9 1016.9 2.5 4.3 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 40 09.2  93 08.1 1017.0 3.3 4.3 273 0.0 0.0 0.0 799.0 9.2
 1  9 2019  0 41 09.2  93 08.1 1017.0 3.2 5.2 273 0.0 0.0 0.0 799.0 9.2
 1  9 2019  0 42 09.2  92 07.9 1017.0 3.6 3.5 273 0.0 0.0 0.0 799.0 9.2
 1  9 2019  0 43 09.2  92 07.9 1017.0 2.7 3.5 273 0.0 0.0 0.0 799.0 9.2
 1  9 2019  0 44 09.2  92 07.9 1016.9 2.7 4.3 273 0.0 0.0 0.0 799.0 9.2
 1  9 2019  0 45 09.1  92 07.9 1017.0 2.8 4.3 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 46 09.1  92 07.9 1017.0 2.6 2.6 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 47 09.1  92 07.9 1016.9 2.3 3.5 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 48 09.1  92 07.8 1017.0 2.2 2.6 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 49 09.1  92 07.8 1016.9 2.5 4.3 273 0.0 0.0 0.0 799.0 9.1
 1  9 2019  0 50 09.0  92 07.8 1017.0 2.8 3.5 273 0.0 0.0 0.0 799.0 9.0
 1  9 2019  0 51 09.0  92 07.8 1017.0 3.1 4.3 273 0.0 0.0 0.0 799.0 9.0
 1  9 2019  0 52 09.0  92 07.7 1017.0 3.3 4.3 273 0.0 0.0 0.0 799.0 9.0
 1  9 2019  0 53 09.0  92 07.7 1017.0 2.6 3.5 273 0.0 0.0 0.0 799.0 9.0
