day month year hour minute temperature   humidity     dewpoint   barometer    windspeed   gustspeed direction  rainlastmin    dailyrain  monthlyrain   yearlyrain  heatindex
 1  2 2019  0  0 01.4  94 00.6 989.8 6.5 11.3  24 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0  1 01.4  94 00.6 989.8 5.9 7.0  28 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0  2 01.4  94 00.6 989.8 5.0 10.4  36 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0  3 01.4  94 00.6 989.9 6.5 10.4  32 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0  4 01.4  94 00.5 989.9 6.6 8.7  35 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0  5 01.4  94 00.5 989.9 5.3 12.2  31 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0  6 01.4  95 00.7 989.9 6.2 9.6  25 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0  7 01.4  95 00.7 989.9 5.6 9.6  34 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0  8 01.4  95 00.7 990.0 6.4 11.3  29 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0  9 01.4  95 00.7 990.0 6.7 8.7  40 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 10 01.4  95 00.7 990.0 5.6 9.6  24 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 11 01.4  95 00.7 990.0 5.9 8.7  51 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 12 01.3  95 00.6 990.0 6.3 10.4  46 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 13 01.4  95 00.7 990.1 5.5 10.4  17 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 14 01.4  95 00.7 990.1 5.3 10.4  28 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 15 01.4  95 00.7 990.1 6.2 12.2  32 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 16 01.3  95 00.6 990.1 7.2 9.6  30 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 17 01.3  95 00.6 990.2 5.5 7.8  29 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 18 01.4  95 00.7 990.2 5.5 7.8  29 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 19 01.4  95 00.7 990.2 4.6 7.8  28 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 20 01.4  95 00.7 990.2 4.6 7.0  28 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 21 01.4  95 00.7 990.2 4.4 9.6  28 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 22 01.3  95 00.6 990.2 4.5 7.0  24 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 23 01.4  95 00.7 990.3 4.2 8.7  13 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 24 01.4  95 00.7 990.3 6.4 9.6  20 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 25 01.4  95 00.7 990.3 6.6 8.7  20 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 26 01.3  95 00.6 990.3 5.4 7.0  19 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 27 01.4  95 00.7 990.4 5.1 9.6  32 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 28 01.3  95 00.6 990.4 5.7 8.7  31 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 29 01.4  95 00.6 990.4 4.9 5.2  30 0.0 0.0 0.0 77.8 1.4
 1  2 2019  0 30 01.3  95 00.6 990.4 4.9 9.6  29 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 31 01.3  95 00.6 990.4 6.0 7.8  27 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 32 01.3  95 00.6 990.4 6.2 8.7  31 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 33 01.3  95 00.6 990.4 6.1 13.9  29 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 34 01.3  95 00.6 990.5 8.5 11.3  19 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 35 01.3  95 00.6 990.5 8.1 11.3  22 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 36 01.3  95 00.6 990.5 6.4 7.8  22 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 37 01.3  95 00.6 990.6 5.5 9.6  26 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 38 01.3  95 00.6 990.6 5.7 7.8  26 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 39 01.3  95 00.6 990.6 5.9 9.6  26 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 40 01.3  95 00.6 990.6 6.0 8.7  32 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 41 01.3  95 00.6 990.6 7.2 11.3  23 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 42 01.3  95 00.6 990.6 8.7 12.2  24 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 43 01.3  95 00.6 990.7 7.9 8.7  32 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 44 01.3  95 00.6 990.6 7.9 11.3  24 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 45 01.3  95 00.6 990.7 8.1 11.3  24 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 46 01.3  95 00.6 990.7 7.8 8.7  24 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 47 01.3  95 00.6 990.7 5.8 8.7  26 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 48 01.3  95 00.6 990.7 6.4 9.6  30 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 49 01.3  95 00.6 990.7 7.3 10.4  30 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 50 01.3  95 00.6 990.7 6.4 7.8  26 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 51 01.3  95 00.6 990.7 6.7 9.6  27 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 52 01.3  95 00.6 990.8 6.0 7.8  26 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 53 01.3  95 00.6 990.8 4.7 7.0  30 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 54 01.3  95 00.6 990.8 5.7 12.2  31 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 55 01.3  95 00.6 990.8 6.6 9.6  34 0.0 0.0 0.0 77.8 1.3
 1  2 2019  0 56 01.3  95 00.5 990.8 7.3 9.6  22 0.0 0.0 0.0 77.8 1.3
