day month year hour minute temperature   humidity     dewpoint   barometer    windspeed   gustspeed direction  rainlastmin    dailyrain  monthlyrain   yearlyrain  heatindex
 1  7 2019  0  0 12.6  90 11.0 1017.5 7.3 7.8 250 0.0 0.0 0.0 507.8 12.6
 1  7 2019  0  1 12.6  90 11.0 1017.6 6.7 9.6 250 0.0 0.0 0.0 507.8 12.6
 1  7 2019  0  2 12.6  90 11.0 1017.6 6.9 9.6 253 0.0 0.0 0.0 507.8 12.6
 1  7 2019  0  3 12.6  90 11.0 1017.6 6.8 9.6 257 0.0 0.0 0.0 507.8 12.6
 1  7 2019  0  4 12.5  90 10.9 1017.6 6.6 10.4 257 0.0 0.0 0.0 507.8 12.5
 1  7 2019  0  5 12.5  90 10.9 1017.6 7.0 11.3 257 0.0 0.0 0.0 507.8 12.5
 1  7 2019  0  6 12.5  90 10.9 1017.6 7.1 8.7 257 0.0 0.0 0.0 507.8 12.5
 1  7 2019  0  7 12.5  90 10.9 1017.6 6.5 9.6 286 0.0 0.0 0.0 507.8 12.5
 1  7 2019  0  8 12.5  91 11.0 1017.6 6.6 13.0 273 0.0 0.0 0.0 507.8 12.5
 1  7 2019  0  9 12.4  91 11.0 1017.6 7.0 10.4 253 0.0 0.0 0.0 507.8 12.4
 1  7 2019  0 10 12.4  91 11.0 1017.6 7.0 13.9 263 0.0 0.0 0.0 507.8 12.4
 1  7 2019  0 11 12.4  91 11.0 1017.6 7.8 13.9 263 0.0 0.0 0.0 507.8 12.4
 1  7 2019  0 12 12.4  91 11.0 1017.6 7.4 10.4 261 0.0 0.0 0.0 507.8 12.4
 1  7 2019  0 13 12.4  91 11.0 1017.6 8.7 12.2 265 0.0 0.0 0.0 507.8 12.4
 1  7 2019  0 14 12.4  91 11.0 1017.6 8.5 12.2 263 0.0 0.0 0.0 507.8 12.4
 1  7 2019  0 15 12.4  91 11.0 1017.6 8.4 10.4 268 0.0 0.0 0.0 507.8 12.4
 1  7 2019  0 16 12.4  91 11.0 1017.6 9.0 11.3 257 0.0 0.0 0.0 507.8 12.4
