time,ISEQ All Share,volume
16/08/1985 02:00,636.12,0
19/08/1985 02:00,636.12,0
20/08/1985 02:00,636.12,0
21/08/1985 02:00,636.12,0
22/08/1985 02:00,639.75,0
23/08/1985 02:00,639.75,0
26/08/1985 02:00,639.75,0
27/08/1985 02:00,639.75,0
28/08/1985 02:00,639.75,0
29/08/1985 02:00,637.6,0
30/08/1985 02:00,637.6,0
02/09/1985 02:00,637.6,0
03/09/1985 02:00,637.6,0
04/09/1985 02:00,637.6,0
05/09/1985 02:00,618.15,0
06/09/1985 02:00,618.15,0
09/09/1985 02:00,618.15,0
10/09/1985 02:00,618.15,0
11/09/1985 02:00,618.15,0
12/09/1985 02:00,617.62,0
13/09/1985 02:00,617.62,0
16/09/1985 02:00,617.62,0
17/09/1985 02:00,617.62,0
18/09/1985 02:00,617.62,0
19/09/1985 02:00,611.31,0
20/09/1985 02:00,611.31,0
23/09/1985 02:00,611.31,0
24/09/1985 02:00,611.31,0
25/09/1985 02:00,611.31,0
26/09/1985 02:00,600.87,0
27/09/1985 02:00,600.87,0
30/09/1985 01:00,600.87,0
01/10/1985 01:00,600.87,0
02/10/1985 01:00,600.87,0
03/10/1985 01:00,623.22,0
04/10/1985 01:00,623.22,0
07/10/1985 01:00,623.22,0
08/10/1985 01:00,623.22,0
09/10/1985 01:00,623.22,0
10/10/1985 01:00,640.66,0
11/10/1985 01:00,640.66,0
14/10/1985 01:00,640.66,0
15/10/1985 01:00,640.66,0
16/10/1985 01:00,640.66,0
17/10/1985 01:00,652.62,0
18/10/1985 01:00,652.62,0
21/10/1985 01:00,652.62,0
22/10/1985 01:00,652.62,0
23/10/1985 01:00,652.62,0
24/10/1985 01:00,652.99,0
25/10/1985 01:00,652.99,0
28/10/1985 01:00,652.99,0
29/10/1985 01:00,652.99,0
30/10/1985 01:00,652.99,0
31/10/1985 01:00,669.83,0
01/11/1985 01:00,669.83,0
04/11/1985 01:00,669.83,0
05/11/1985 01:00,669.83,0
06/11/1985 01:00,669.83,0
07/11/1985 01:00,664.36,0
08/11/1985 01:00,664.36,0
11/11/1985 01:00,664.36,0
12/11/1985 01:00,664.36,0
13/11/1985 01:00,664.36,0
14/11/1985 01:00,694.7,0
15/11/1985 01:00,694.7,0
18/11/1985 01:00,694.7,0
19/11/1985 01:00,694.7,0
